opening_date(kor),closing_date(kor),opening_price,closing_price,high_price,low_price,trade_price,trade_volume
2019-03-02 3:00,2019-03-02 4:00,4255000,4254000,4261000,4252000,4254000,42.32130324
2019-03-02 4:00,2019-03-02 5:00,4254000,4258000,4259000,4247000,4257000,51.13920008
2019-03-02 5:00,2019-03-02 6:00,4258000,4256000,4261000,4255000,4259000,52.52874811
2019-03-02 6:00,2019-03-02 7:00,4256000,4257000,4260000,4254000,4258000,33.75383111
2019-03-02 7:00,2019-03-02 8:00,4257000,4248000,4261000,4230000,4245000,98.6006831
2019-03-02 8:00,2019-03-02 9:00,4248000,4248000,4255000,4237000,4248000,113.7833304
2019-03-02 9:00,2019-03-02 10:00,4248000,4255000,4257000,4243000,4255000,162.0454614
2019-03-02 10:00,2019-03-02 11:00,4255000,4263000,4267000,4252000,4258000,209.6834698
2019-03-02 11:00,2019-03-02 12:00,4263000,4255000,4267000,4255000,4257000,147.6347004
2019-03-02 12:00,2019-03-02 13:00,4255000,4257000,4264000,4254000,4257000,126.4299562
2019-03-02 13:00,2019-03-02 14:00,4257000,4241000,4260000,4237000,4240000,253.7473072
2019-03-02 14:00,2019-03-02 15:00,4241000,4244000,4247000,4233000,4245000,165.0706419
2019-03-02 15:00,2019-03-02 16:00,4244000,4239000,4248000,4237000,4239000,97.16834693
2019-03-02 16:00,2019-03-02 17:00,4239000,4227000,4239000,4224000,4227000,145.1170934
2019-03-02 17:00,2019-03-02 18:00,4227000,4234000,4236000,4205000,4234000,290.0678325
2019-03-02 18:00,2019-03-02 19:00,4234000,4232000,4237000,4229000,4232000,102.011198
2019-03-02 19:00,2019-03-02 20:00,4232000,4244000,4245000,4230000,4243000,171.2502551
2019-03-02 20:00,2019-03-02 21:00,4244000,4248000,4252000,4239000,4249000,159.4624874
2019-03-02 21:00,2019-03-02 22:00,4248000,4251000,4258000,4243000,4251000,146.3115901
2019-03-02 22:00,2019-03-02 23:00,4251000,4253000,4260000,4248000,4253000,122.4725819
2019-03-02 23:00,2019-03-03 0:00,4253000,4252000,4258000,4250000,4252000,76.16033848
2019-03-03 0:00,2019-03-03 1:00,4252000,4248000,4262000,4245000,4247000,115.9341247
2019-03-03 1:00,2019-03-03 2:00,4248000,4256000,4262000,4244000,4256000,127.0519751
2019-03-03 2:00,2019-03-03 3:00,4256000,4248000,4260000,4248000,4252000,92.57177797
2019-03-03 3:00,2019-03-03 4:00,4248000,4258000,4260000,4245000,4253000,45.39930103
2019-03-03 4:00,2019-03-03 5:00,4258000,4252000,4259000,4245000,4250000,42.96033068
2019-03-03 5:00,2019-03-03 6:00,4252000,4242000,4252000,4238000,4243000,50.10259933
2019-03-03 6:00,2019-03-03 7:00,4242000,4249000,4255000,4240000,4253000,31.35198014
